service_id,provider_id,rating_tier,service_type,state,number_approved_places,service_age_years,long_day_care,preschool_part_school,preschool_standalone,oshc_after_school,oshc_before_school,oshc_vacation_care,other_service,service_has_conditions,temporarily_closed,annual_open_days,annual_weekly_hours,school_term_open_days,school_term_weekly_hours,holiday_open_days,holiday_weekly_hours,weekly_open_days,max_weekly_hours,operating_pattern,provider_state,provider_age_years,provider_service_count,provider_has_trading_name,provider_has_conditions,provider_state_matches_service
SE-40008405,PR-40002234,Meeting NQS,Centre-Based Care,NSW,90,9.65,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,25,5,55,5,55,Multiple schedules,VIC,12.03,276,TRUE,TRUE,No
SE-40008406,PR-00002539,Meeting NQS,Centre-Based Care,NSW,81,9.63,No,No,No,Yes,Yes,Yes,No,TRUE,No,0,,5,24.166666666666664,5,55,5,55,Multiple schedules,VIC,14.35,385,FALSE,FALSE,No
SE-40008416,PR-40004402,Meeting NQS,Centre-Based Care,WA,90,9.63,No,No,No,Yes,Yes,Yes,No,TRUE,No,0,,5,27.5,5,57.5,5,57.5,Multiple schedules,VIC,11.27,233,TRUE,FALSE,No
SE-40008438,PR-00006557,Meeting NQS,Centre-Based Care,QLD,60,9.56,No,No,No,Yes,Yes,No,No,TRUE,No,0,,5,26.25,0,,5,26.25,School terms,VIC,14.77,45,FALSE,FALSE,No
SE-40008444,PR-00001030,Meeting NQS,Centre-Based Care,QLD,130,9.62,No,No,No,Yes,Yes,Yes,No,TRUE,No,0,,5,30.416666666666664,5,60,5,60,Multiple schedules,QLD,14.71,104,FALSE,FALSE,Yes
SE-40008445,PR-00001030,Meeting NQS,Centre-Based Care,WA,40,9.63,No,No,No,Yes,Yes,Yes,No,TRUE,No,0,,5,26.666666666666664,5,57.5,5,57.5,Multiple schedules,QLD,14.71,104,FALSE,FALSE,No
SE-40008447,PR-40009453,Meeting NQS,Centre-Based Care,VIC,122,9.14,Yes,No,No,No,No,No,Yes,TRUE,No,5,60,0,,5,60,5,60,Multiple schedules,QLD,9.74,42,TRUE,FALSE,No
SE-40008448,PR-00003532,Meeting NQS,Centre-Based Care,NSW,60,9.41,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,25,5,55,5,55,Multiple schedules,NSW,17.05,31,TRUE,FALSE,Yes
SE-40008452,PR-40001112,Meeting NQS,Centre-Based Care,NSW,72,9.45,Yes,No,No,No,No,No,No,FALSE,No,5,57.5,0,,0,,5,57.5,Annual,QLD,12.96,219,FALSE,TRUE,No
SE-40008461,PR-00002149,Meeting NQS,Centre-Based Care,VIC,132,9.62,No,No,Yes,No,No,No,No,TRUE,No,0,,5,42,0,,5,42,School terms,VIC,14.72,17,FALSE,FALSE,Yes
SE-40008468,PR-40009839,Above NQS,Centre-Based Care,VIC,137,9.51,Yes,No,No,No,No,Yes,No,FALSE,No,5,57.5,0,,0,,5,57.5,Annual,VIC,9.72,1,TRUE,FALSE,Yes
SE-40008472,PR-40006486,Below NQS,Centre-Based Care,SA,37,9.39,Yes,No,No,No,No,No,No,FALSE,No,5,57.5,0,,0,,5,57.5,Annual,NSW,10.69,24,TRUE,FALSE,No
SE-40008484,PR-40026122,Meeting NQS,Centre-Based Care,VIC,105,9.46,Yes,No,No,No,No,No,No,FALSE,No,5,57.5,0,,0,,5,57.5,Annual,QLD,5.24,4,TRUE,FALSE,No
SE-40008486,PR-40000495,Meeting NQS,Centre-Based Care,NSW,63,9.41,Yes,No,No,No,No,No,No,FALSE,No,5,55,0,,0,,5,55,Annual,NSW,13.5,5,FALSE,FALSE,Yes
SE-00013785,PR-40000190,Meeting NQS,Centre-Based Care,NSW,45,13.35,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,23.75,5,55,5,55,Multiple schedules,NSW,13.81,7,TRUE,FALSE,Yes
SE-00013788,PR-40011145,Meeting NQS,Centre-Based Care,NSW,24,13.02,No,No,No,Yes,Yes,No,No,FALSE,No,0,,5,25,0,,5,25,School terms,VIC,9.26,499,TRUE,FALSE,No
SE-00013789,PR-00005466,Meeting NQS,Centre-Based Care,NSW,50,13.86,Yes,No,No,No,No,No,No,FALSE,No,5,55,0,,0,,5,55,Annual,NSW,17.05,15,TRUE,FALSE,Yes
SE-00013790,PR-00004036,Meeting NQS,Centre-Based Care,NSW,86,13.48,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,27.5,5,55,5,55,Multiple schedules,NSW,17.05,44,TRUE,FALSE,Yes
SE-00013791,PR-00007990,Meeting NQS,Centre-Based Care,NSW,110,13.33,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,27.5,5,57.5,5,57.5,Multiple schedules,NSW,13.33,1,TRUE,FALSE,Yes
SE-00013793,PR-00007994,Meeting NQS,Centre-Based Care,NSW,90,12.87,No,No,No,Yes,Yes,No,No,TRUE,No,0,,5,30,5,55,5,55,Multiple schedules,NSW,12.87,1,TRUE,FALSE,Yes
SE-00013794,PR-00007992,Meeting NQS,Centre-Based Care,NSW,90,12.97,No,No,No,Yes,No,Yes,No,FALSE,No,0,,5,15,5,50,5,50,Multiple schedules,NSW,12.97,1,TRUE,FALSE,Yes
SE-00013795,PR-40001095,Below NQS,Centre-Based Care,NSW,48,12.94,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,25,5,55,5,55,Multiple schedules,NSW,12.94,29,TRUE,FALSE,Yes
SE-00013796,PR-00007997,Above NQS,Centre-Based Care,NSW,210,12.97,No,No,No,Yes,Yes,No,No,TRUE,No,0,,5,22.916666666666664,0,,5,22.916666666666664,School terms,NSW,13.05,1,TRUE,FALSE,Yes
SE-00013800,PR-40011323,Meeting NQS,Centre-Based Care,NSW,34,13.01,No,No,No,Yes,No,Yes,No,FALSE,No,0,,5,15,4,40,5,40,Multiple schedules,VIC,8.92,25,TRUE,FALSE,No
SE-00013805,PR-40029052,Meeting NQS,Centre-Based Care,NSW,75,13.75,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,30,5,57.5,5,57.5,Multiple schedules,NSW,4.36,13,TRUE,FALSE,Yes
SE-00013807,PR-40001344,Below NQS,Centre-Based Care,NSW,135,13.08,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,25,0,,5,25,School terms,NSW,12.79,1,FALSE,FALSE,Yes
SE-00013808,PR-00002539,Meeting NQS,Centre-Based Care,NSW,60,13.05,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,25.416666666666664,5,50,5,50,Multiple schedules,VIC,14.35,385,FALSE,FALSE,No
SE-00013809,PR-40001129,Meeting NQS,Centre-Based Care,NSW,40,12.79,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,27.5,5,42.5,5,42.5,Multiple schedules,NSW,12.81,31,TRUE,FALSE,Yes
SE-00013812,PR-00003468,Above NQS,Centre-Based Care,NSW,110,12.75,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,22.5,5,52.5,5,52.5,Multiple schedules,NSW,17.05,20,TRUE,FALSE,Yes
SE-00013813,PR-40004402,Meeting NQS,Centre-Based Care,WA,60,13.97,No,No,No,Yes,Yes,Yes,No,TRUE,No,0,,5,27.083333333333332,5,57.5,5,57.5,Multiple schedules,VIC,11.27,233,TRUE,FALSE,No
SE-00013814,PR-40002234,Meeting NQS,Centre-Based Care,NSW,80,12.67,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,25,5,55,5,55,Multiple schedules,VIC,12.03,276,TRUE,TRUE,No
SE-00013815,PR-40002651,Above NQS,Centre-Based Care,NSW,400,12.94,No,No,No,Yes,Yes,Yes,Yes,FALSE,No,0,,5,22.5,5,52.5,5,52.5,Multiple schedules,NSW,11.83,3,TRUE,FALSE,Yes
SE-00013816,PR-00004030,Meeting NQS,Centre-Based Care,NSW,120,12.75,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,25,5,55,5,55,Multiple schedules,NSW,17.05,10,TRUE,FALSE,Yes
SE-00013817,PR-00003379,Meeting NQS,Centre-Based Care,NSW,139,13.17,No,No,No,Yes,Yes,No,No,FALSE,No,0,,5,25,0,,5,25,School terms,NSW,17.05,3,TRUE,FALSE,Yes
SE-00013819,PR-00003581,Meeting NQS,Centre-Based Care,NSW,60,13.49,No,No,No,Yes,No,Yes,No,FALSE,No,0,,5,16.25,5,52.5,5,52.5,Multiple schedules,NSW,17.05,2,TRUE,FALSE,Yes
SE-00013820,PR-00008007,Meeting NQS,Centre-Based Care,NSW,60,12.82,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,26.25,5,55,5,55,Multiple schedules,NSW,12.83,1,TRUE,FALSE,Yes
SE-00013822,PR-00008010,Meeting NQS,Centre-Based Care,NSW,258,12.77,No,No,No,Yes,Yes,Yes,No,TRUE,No,0,,5,22.5,5,55,5,55,Multiple schedules,NSW,12.85,1,TRUE,FALSE,Yes
SE-00013824,PR-40001129,Above NQS,Centre-Based Care,NSW,40,12.82,No,No,No,Yes,Yes,No,No,FALSE,No,0,,5,25,0,,5,25,School terms,NSW,12.81,31,TRUE,FALSE,Yes
SE-00013825,PR-00003724,Below NQS,Centre-Based Care,NSW,30,12.81,No,No,No,No,No,Yes,No,FALSE,Yes,0,,0,,5,57.5,5,57.5,Holiday care,NSW,17.05,2,TRUE,FALSE,Yes
SE-00013826,PR-00003631,Meeting NQS,Centre-Based Care,NSW,30,12.74,No,No,No,Yes,No,Yes,No,FALSE,No,0,,4,13,5,50,5,50,Multiple schedules,NSW,17.05,2,TRUE,FALSE,Yes
SE-00013828,PR-00002539,Meeting NQS,Centre-Based Care,NSW,40,13.15,No,No,No,Yes,Yes,No,No,FALSE,No,0,,5,27.5,0,,5,27.5,School terms,VIC,14.35,385,FALSE,FALSE,No
SE-00013832,PR-40012340,Meeting NQS,Centre-Based Care,NSW,45,13.15,No,No,No,Yes,Yes,No,No,FALSE,No,0,,5,28.75,0,,5,28.75,School terms,NSW,8.82,11,FALSE,FALSE,Yes
SE-00013838,PR-00008012,Meeting NQS,Centre-Based Care,NSW,60,12.82,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,30,5,55,5,55,Multiple schedules,NSW,12.83,2,TRUE,FALSE,Yes
SE-00013840,PR-40001442,Meeting NQS,Centre-Based Care,NSW,50,13.23,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,25,5,47.5,5,47.5,Multiple schedules,NSW,12.68,7,FALSE,FALSE,Yes
SE-00013842,PR-40009569,Below NQS,Centre-Based Care,NSW,82,12.75,No,No,No,Yes,Yes,No,No,FALSE,No,0,,5,25.416666666666664,0,,5,25.416666666666664,School terms,NSW,9.48,6,TRUE,FALSE,Yes
SE-00013843,PR-00007859,Meeting NQS,Centre-Based Care,NSW,60,13.25,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,30,5,55,5,55,Multiple schedules,NSW,13.43,8,TRUE,FALSE,Yes
SE-00013845,PR-00007927,Meeting NQS,Centre-Based Care,NSW,80,12.96,No,No,No,Yes,Yes,Yes,Yes,TRUE,No,0,,5,25,5,55,5,55,Multiple schedules,NSW,12.96,1,TRUE,FALSE,Yes
SE-00013847,PR-00005581,Meeting NQS,Centre-Based Care,NSW,60,13.25,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,25,5,55,5,55,Multiple schedules,,17.05,5,TRUE,FALSE,
SE-00013848,PR-00005581,Meeting NQS,Centre-Based Care,NSW,80,13.17,No,No,No,Yes,Yes,Yes,No,TRUE,No,0,,5,23.333333333333336,5,55,5,55,Multiple schedules,,17.05,5,TRUE,FALSE,
SE-00013851,PR-40008403,Meeting NQS,Centre-Based Care,NSW,109,12.75,Yes,No,No,No,No,No,No,FALSE,No,5,55,0,,0,,5,55,Annual,NSW,10.2,1,TRUE,FALSE,Yes
SE-00013853,PR-00004245,Meeting NQS,Centre-Based Care,NSW,60,13.8,No,No,No,Yes,Yes,No,No,FALSE,No,0,,5,25,0,,5,25,School terms,NSW,17.05,6,TRUE,FALSE,Yes
SE-00013856,PR-40002234,Meeting NQS,Centre-Based Care,NSW,78,12.75,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,22.5,5,55,5,55,Multiple schedules,VIC,12.03,276,TRUE,TRUE,No
SE-00013857,PR-40005309,Below NQS,Centre-Based Care,NSW,86,13.15,No,No,No,Yes,Yes,Yes,No,FALSE,No,0,,5,22.5,5,55,5,55,Multiple schedules,NSW,11.04,8,TRUE,FALSE,Yes
